,YEAR,Tech_name,VALUE
102,2021.0,FTR-RAIL-DIESEL,29.5652165988795
103,2021.0,Fisheries-Oil,35.6272800003571
104,2021.0,Import Coal PP,3046.8021448553054
105,2021.0,Industry-Coal,60.2602000002753
106,2021.0,Industry-Oil,140.204999999791
107,2021.0,PTR-2W-PETROL,148.13706599979
108,2021.0,PTR-2WT-PETROL,15.5758679998151
109,2021.0,PTR-3W-CNG,0.0234499994076032
110,2021.0,PTR-3W-DIESEL,0.864918000681209
111,2021.0,PTR-3W-PETROL,3.54607999967644
112,2021.0,PTR-AIR-ATF,160.289831200128
113,2021.0,PTR-BUS-CNG,0.234272999763635
114,2021.0,PTR-BUS-DIESEL,39.272488000663
115,2021.0,PTR-CAR-CNG,7.00430400002981
116,2021.0,PTR-CAR-DIESEL,67.7921399999672
117,2021.0,PTR-CAR-PETROL,354.536256000642
118,2021.0,PTR-Ferry-DIESEL,0.155334602354851
119,2021.0,PTR-ONMI-BUS-CNG,0.114443999860116
120,2021.0,PTR-ONMI-BUS-DIESEL,43.4784600005328
121,2021.0,PTR-RAIL-DIESEL,14.0755097741443
122,2021.0,PTR-TAXI-CNG,2.31343199944007
123,2021.0,PTR-TAXI-DIESEL,52.7118140007008
124,2021.0,PTR-TAXI-PETROL,64.2113199999738
125,2022.0,Agriculture-mecanization-Oil,9.21804000004486
126,2022.0,Agriculture-pump-Oil,0.400139999596286
127,2022.0,CCGT,37.267259997523794
128,2022.0,Coal PP,36.3953759388549
129,2022.0,Cooking rural-Biogas,0.382199999879231
130,2022.0,Cooking rural-Biomass Improved,1.79999999963911
131,2022.0,Cooking rural-Coal,0.18919999935024
132,2022.0,Cooking rural-Gas,24.84040000041472
133,2022.0,Cooking rural-lq-fuel,1.94130000013392
134,2022.0,Cooking urban-Biogas,0.600599999923725
135,2022.0,Cooking urban-Biomass Improved,2.49999999941792
136,2022.0,Cooking urban-Coal,0.283800000242308
137,2022.0,Cooking urban-Gas,83.36249999979194
138,2022.0,Cooking urban-lq-fuel,3.09170000036829
139,2022.0,FTR-AIR-AIR,403.6168712
140,2022.0,FTR-HCV-DIESEL,362.404043000663
141,2022.0,FTR-HCV-LNG,1.32684800020419
142,2022.0,FTR-LCV-CNG,1.03312500034008
143,2022.0,FTR-LCV-DIESEL,243.716826601942
144,2022.0,FTR-LCV-Petrol,14.1062863991299
145,2022.0,FTR-RAIL-DIESEL,22.1746830999813
146,2022.0,Fisheries-Oil,36.049649999931
147,2022.0,Import Coal PP,1948.674760434351
148,2022.0,Industry-Coal,63.9496000003524
149,2022.0,Industry-Oil,148.904899999732
150,2022.0,PTR-2W-PETROL,149.334569999792
151,2022.0,PTR-2WT-PETROL,15.7047659998867
152,2022.0,PTR-3W-CNG,0.0234499994076032
153,2022.0,PTR-3W-DIESEL,0.854240000174032
154,2022.0,PTR-3W-PETROL,3.56524800058687
155,2022.0,PTR-AIR-ATF,163.984906800131
156,2022.0,PTR-BUS-CNG,0.468545999527268
157,2022.0,PTR-BUS-DIESEL,39.5691079974861
158,2022.0,PTR-CAR-CNG,7.20547200027038
159,2022.0,PTR-CAR-DIESEL,67.4069039994443
160,2022.0,PTR-CAR-PETROL,360.082591999429
161,2022.0,PTR-Ferry-DIESEL,0.327928610552626
162,2022.0,PTR-ONMI-BUS-CNG,0.20027700118575
163,2022.0,PTR-ONMI-BUS-DIESEL,43.859850001998
164,2022.0,PTR-RAIL-DIESEL,10.6779728833993
165,2022.0,PTR-TAXI-CNG,2.36829599938472
166,2022.0,PTR-TAXI-DIESEL,52.5505610008635
167,2022.0,PTR-TAXI-PETROL,65.5785449993746
168,2023.0,Agriculture-mecanization-Oil,9.70709999955143
169,2023.0,Agriculture-pump-Oil,0.422369999573857
170,2023.0,CCGT,37.267259997523794
171,2023.0,Coal PP,30.3983829504
172,2023.0,Cooking rural-Biogas,0.545999999713967
173,2023.0,Cooking rural-Biomass Improved,1.79999999963911
174,2023.0,Cooking rural-Coal,0.189200001222362
175,2023.0,Cooking rural-Gas,24.573999999930635
176,2023.0,Cooking rural-lq-fuel,1.86939999985771
177,2023.0,Cooking urban-Biogas,0.764399999758461
178,2023.0,Cooking urban-Biomass Improved,2.40000000048894
179,2023.0,Cooking urban-Coal,0.283799999900886
180,2023.0,Cooking urban-Gas,83.80440000016237
181,2023.0,Cooking urban-lq-fuel,2.94789999981586
182,2023.0,FTR-AIR-AIR,422.8936574
